event_time,coef,se,method,ci_lo,ci_hi
-5,-0.0412230353774116,0.0240880681094207,Borusyak-Jaravel-Spiess (imputation),-0.0884356488718763,0.00598957811705304
-4,0.0237989816091811,0.028000450379078,Borusyak-Jaravel-Spiess (imputation),-0.0310819011338118,0.078679864352174
-3,-0.011050298656158,0.0248136532236635,Borusyak-Jaravel-Spiess (imputation),-0.0596850589745385,0.0375844616622225
-2,0.0282378057845749,0.019603742853233,Borusyak-Jaravel-Spiess (imputation),-0.0101855302077618,0.0666611417769116
-1,0.0147953239240588,0.0159875503841033,Borusyak-Jaravel-Spiess (imputation),-0.0165402748287837,0.0461309226769013
0,0.0524518522054083,0.0175685231198806,Borusyak-Jaravel-Spiess (imputation),0.0180175468904422,0.0868861575203743
1,0.0568129638138344,0.0196031384306525,Borusyak-Jaravel-Spiess (imputation),0.0183908124897555,0.0952351151379133
2,0.0940342904283483,0.0204492797510008,Borusyak-Jaravel-Spiess (imputation),0.0539537021163869,0.13411487874031
3,0.0305919889003976,0.0216617412537191,Borusyak-Jaravel-Spiess (imputation),-0.0118650239568917,0.073049001757687
4,0.0195269867168122,0.0238183905080688,Borusyak-Jaravel-Spiess (imputation),-0.0271570586790026,0.066211032112627
5,0.147054041200431,0.0260486734104376,Borusyak-Jaravel-Spiess (imputation),0.0959986413159736,0.198109441084889
-5,0.0599604310565401,0.344404583665676,,-0.615072552928185,0.734993415041265
-4,-0.342706548076629,0.518390981725179,,-1.35875287225798,0.673339776104722
-3,-0.358556702114998,0.227993097517711,,-0.805423173249712,0.0883097690197162
-2,0.135866572685551,0.292253125945582,,-0.436949554167791,0.708682699538892
-1,-0.278747963070445,0.257469631896224,,-0.783388441587044,0.225892515446153
0,0.0723770708459016,0.218170947509564,,-0.355237986272844,0.499992127964647
1,-0.134773055265553,0.252904238767543,,-0.630465363249937,0.36091925271883
2,-0.471906172793929,0.332470893077614,,-1.12354912322605,0.179736777638195
3,-0.795525199217453,0.372856639433492,,-1.5263242125071,-0.0647261859278079
4,-0.876661719000177,0.381343958528621,,-1.62409587771627,-0.12922756028408
5,-0.883958394131294,0.479946830980138,,-1.82465418285237,0.0567373945897777
-5,-0.146580600086966,0.0537588833063903,,-0.251948011367491,-0.0412131888064412
-4,-0.0659642722920917,0.0530869642904218,,-0.170014722301318,0.038086177717135
-3,-0.123918395404697,0.0457892984703241,,-0.213665420406532,-0.0341713704028615
-2,-0.0268166951012101,0.0357849546306124,,-0.0969552061772104,0.0433218159747901
0,0.072471303658692,0.0214460397746946,,0.0304370657002907,0.114505541617093
1,0.0509757319967423,0.0213599527996342,,0.00911022450945919,0.0928412394840254
2,0.00826256082895662,0.0200470147046151,,-0.0310295879920891,0.0475547096500023
3,-0.0220336200958125,0.0184057074148517,,-0.0581088066289217,0.0140415664372968
4,-0.028812521721175,0.0173505678845507,,-0.0628196347748944,0.00519459133254441
-1,0,0,,0,0
